,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
155,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,1.187(20),-0.00401(88),40.655313107536415,1.6496812903680806,0.044419978777858485,10,0.00064(34),-0.00190(85),-0.00002(24),-0.00005(22),-0.0068(23),5(100)e-06,0.00008(34),0.00001(14),,1(22),1.9(2.9),-0.6(2.7),-8(36),35(37)
156,ma-ratio_FKFpi_nnlo_logSq_sunset_alphaS_FV,1.197(19),-0.00429(88),45.1917867838391,2.051908090613895,0.006446095648810928,10,0.00014(30),-0.00045(79),,,,,,,,-8(17),6.6(2.6),2.8(1.3),12(27),
157,ma-ratio_FKFpi_nnlo_logSq_sunset_alphaS_a4_FV,1.186(22),-0.00396(92),38.57474970525279,1.969368592869096,0.00979441301043456,10,0.00003(31),-0.00017(83),,,,,,,,9(22),4.9(3.0),2.6(1.3),-19(37),47(39)
158,ma-ratio_FKFpi_nnlo_alphaS_FV,1.198(19),-0.00431(88),44.251262099311845,2.151157519800313,0.003847005886525917,10,0.00005(29),-0.00011(80),,,,,,,,-7(17),6.9(2.7),4.3(1.2),10(27),
159,ma-ratio_FKFpi_nnlo_alphaS_a4_FV,1.185(22),-0.00394(92),37.76188771668825,2.0520920538335634,0.006440014810221169,10,-0.00006(31),0.00019(84),,,,,,,,12(22),5.0(3.1),4.1(1.2),-24(37),52(40)
160,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_bijnens,1.1887(31),-0.00405(69),47.13311618681674,2.118349097350212,0.004569715068151596,0,0.00063(20),-0.00176(53),0.00028(14),0.00029(16),-0.0057(14),-0.000053(99),-0.00032(17),0.00021(10),,-0.54(42),1.8(1.6),1.3(1.7),,
161,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_bijnens,1.1952(58),-0.00423(71),39.779677027687725,2.014616038557821,0.00779716218053361,0,0.00048(23),-0.00141(59),0.00028(14),0.00029(16),-0.0056(14),-0.00006(10),-0.00030(17),0.00021(10),,-2.6(1.6),0.2(2.0),0.2(1.8),,29(23)
162,ma-ratio_FpiFpi_nnlo_log_logSq_sunset,1.1872(32),-0.00400(69),48.07391197860919,2.0020898566730256,0.00830790687930718,0,0.00096(29),-0.00270(80),-0.00004(29),-0.00011(32),-0.0074(22),5(99)e-06,0.00006(33),0.00002(20),,-1.02(47),1.4(1.9),-0.9(3.1),,
163,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4,1.1934(56),-0.00418(71),40.78043562309362,1.8929207761985225,0.014292769652280378,0,0.00082(31),-0.00238(84),-0.00003(29),-0.00010(32),-0.0074(22),-4(991)e-07,0.00011(33),0.00002(20),,-3.1(1.6),-0.1(2.2),-1.6(2.9),,29(22)
164,ma-ratio_FpiFpi_nnlo_logSq_sunset,1.1909(27),-0.00411(69),44.63292423363468,2.4569764616680256,0.0007242418246726193,0,0.00026(15),-0.00073(43),,,,,,,,0.08(45),3.3(1.5),3.23(84),,
