,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol corr,L_4,L_5,A_a,A_k,A_p,A_loga
34,ma-ratio_FKFpi_nnlo_alphaS,1.1843(44),-0.00392(69),53.32247577457794,2.519311006593555,0.0007016535762082553,0,0.0056(43),0.0018(13),-1.5(2.8),2.2(1.9),0.3(1.1),-0.08(4.18)
35,ma-ratio_FKFpi_nnlo_alphaS_logSq,1.1879(48),-0.00402(70),56.146299422420604,2.121257242863128,0.0055348351648924115,0,0.0035(40),0.0005(10),-1.2(2.9),1.5(2.0),0.2(1.1),-0.1(4.2)
36,ma-ratio_FKFpi_nnlo_FV,1.1852(33),-0.00395(69),54.71695870834564,2.3012386914254943,0.002223024739665253,10,0.0035(37),0.0013(11),-1.1(1.2),1.8(2.1),0.5(1.2),
37,ma-ratio_FKFpi_nnlo_FV_logSq,1.1891(41),-0.00406(70),56.95551011592264,1.2100681639399091,0.25038352677556386,10,-0.00296(52),-0.00123(45),3.6(2.4),2.5(3.5),3.3(1.1),
38,ma-ratio_FKFpi_nnlo_FV_alphaS,1.1853(47),-0.00395(70),54.542174871650744,2.301203829821867,0.00222342568374387,10,0.0035(37),0.0013(11),-1.2(2.9),1.8(2.1),0.5(1.2),0.1(4.2)
39,ma-ratio_FKFpi_nnlo_FV_alphaS_logSq,1.1901(54),-0.00409(70),56.68954814405907,1.2032131241196935,0.2558416838081667,10,-0.00300(53),-0.00120(45),2.9(3.3),2.2(3.6),3.3(1.1),1.4(4.3)
40,ma-ratio_FpiFpi_nnlo,1.1864(34),-0.00398(69),52.30021734812309,2.625229072537876,0.0003941016910336783,0,0.0053(43),0.0023(13),-0.96(92),0.6(1.5),1.31(66),
41,ma-ratio_FpiFpi_nnlo_logSq,1.1928(57),-0.00416(71),53.46695192659029,1.4328975449861012,0.1157172850083545,0,-0.00296(41),-0.00159(43),3.5(2.4),4.0(2.9),6.0(1.1),
42,ma-ratio_FpiFpi_nnlo_alphaS,1.1869(50),-0.00400(70),52.11272787303022,2.6243250405478533,0.0003960637451286424,0,0.0053(43),0.0023(13),-1.3(2.8),0.5(1.5),1.32(67),0.5(4.2)
43,ma-ratio_FpiFpi_nnlo_alphaS_logSq,1.1935(60),-0.00418(71),52.833637005393506,2.3642002241213467,0.0016015787769341904,0,0.0017(31),0.00085(87),-0.5(2.9),-0.9(1.9),1.74(74),0.8(4.2)
44,ma-ratio_FpiFpi_nnlo_FV,1.1878(38),-0.00402(69),53.66959153389541,2.368227251832141,0.0015681138165584126,10,0.0029(36),0.0016(10),-0.5(1.2),0.3(1.8),1.43(76),
45,ma-ratio_FpiFpi_nnlo_FV_logSq,1.1936(56),-0.00418(71),58.299002260040176,0.9333170659745542,0.5295457416825634,10,-0.00280(42),-0.00154(46),3.0(2.2),3.8(2.9),5.1(1.1),
46,ma-ratio_FpiFpi_nnlo_FV_alphaS,1.1883(54),-0.00404(70),53.48155590259186,2.3668291723277224,0.0015796550630911724,10,0.0029(36),0.0016(10),-0.9(2.9),0.3(1.8),1.45(78),0.6(4.2)
47,ma-ratio_FpiFpi_nnlo_FV_alphaS_logSq,1.1946(73),-0.00421(72),58.09295083451996,0.9288854393330976,0.53475590125398,10,-0.00282(43),-0.00153(47),2.3(3.1),3.7(2.9),5.1(1.1),1.1(4.3)
48,xpt_FKFK_nnlo,1.1752(17),-0.00367(68),58.416799301661065,1.860447241308735,0.019247705577301686,0,,-0.00064(58),-4.14(52),4.8(3.0),-0.09(96),
49,xpt_FKFK_nnlo_logSq,1.1774(18),-0.00373(68),57.294630403878664,1.9968728348953808,0.01015078775782168,0,,-0.00107(58),-4.22(52),4.8(3.0),-0.003(964),
50,xpt_FKFK_nnlo_alphaS,1.1745(29),-0.00365(68),58.26829633485254,1.8555452871745333,0.019684864317823087,0,,-0.00066(59),-3.4(2.8),4.9(3.0),-0.11(96),-1.2(4.2)
51,xpt_FKFK_nnlo_alphaS_logSq,1.1768(30),-0.00371(68),57.147509173923815,1.9917492554403429,0.010402831303416831,0,,-0.00109(59),-3.4(2.8),4.8(3.0),-0.03(97),-1.2(4.2)
52,xpt_FKFK_nnlo_FV,1.1754(17),-0.00367(68),64.36108214483798,1.1205944298857833,0.3280408029032321,10,,-0.00053(58),-4.43(52),4.3(3.0),0.05(95),
53,xpt_FKFK_nnlo_FV_logSq,1.1776(17),-0.00374(68),65.69147279304008,0.9517960910832892,0.5079535466704809,10,,-0.00092(58),-4.48(52),4.0(3.0),0.20(96),
54,xpt_FKFK_nnlo_FV_alphaS,1.1746(29),-0.00365(68),64.22377055369813,1.1142524218150458,0.3340624048269181,10,,-0.00056(59),-3.6(2.8),4.4(3.0),0.02(96),-1.3(4.2)
55,xpt_FKFK_nnlo_FV_alphaS_logSq,1.1769(30),-0.00371(68),65.55424917524252,0.9454298514340852,0.5153661592308942,10,,-0.00095(59),-3.6(2.8),4.1(3.0),0.17(96),-1.3(4.2)
56,xpt_FKFpi_nnlo,1.1807(26),-0.00382(68),57.3481041033899,2.044094757851486,0.008083022031534623,0,,-0.00043(49),-3.36(36),2.6(2.1),1.57(39),
57,xpt_FKFpi_nnlo_logSq,1.1830(24),-0.00389(68),52.22167752292682,2.657230263608656,0.0003304164908617893,0,,-0.00041(50),-3.14(36),0.5(2.1),2.20(40),
58,xpt_FKFpi_nnlo_alphaS,1.1804(38),-0.00381(69),57.17279230340504,2.04319755801775,0.00811831309546876,0,,-0.00044(50),-3.0(2.8),2.6(2.1),1.56(39),-0.5(4.2)
59,xpt_FKFpi_nnlo_alphaS_logSq,1.1829(37),-0.00388(69),52.038310261103476,2.657104060769937,0.00033064681865144197,0,,-0.00042(50),-3.0(2.8),0.5(2.1),2.20(40),-0.2(4.2)
60,xpt_FKFpi_nnlo_FV,1.1817(28),-0.00385(68),65.72068263481785,1.0132908302106147,0.4382202443799999,10,,-0.00066(49),-3.89(36),3.6(2.1),1.34(39),
61,xpt_FKFpi_nnlo_FV_logSq,1.1844(27),-0.00393(69),64.67625684163067,1.1276156738691896,0.32145196816984417,10,,-0.00079(49),-3.76(36),2.1(2.1),1.86(39),
62,xpt_FKFpi_nnlo_FV_alphaS,1.1811(40),-0.00383(69),65.56329274229677,1.0104274112451064,0.4413785569591657,10,,-0.00068(50),-3.3(2.8),3.7(2.1),1.33(39),-0.9(4.2)
63,xpt_FKFpi_nnlo_FV_alphaS_logSq,1.1840(39),-0.00391(69),64.50766764581877,1.1260044898789094,0.3229566693144862,10,,-0.00080(50),-3.3(2.8),2.2(2.1),1.86(39),-0.7(4.2)
