,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
181,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS,1.1878(57),-0.00402(70),29.406514252478352,1.078669956923575,0.3743758539334657,0,-0.00147(31),-0.00002(76),-10(288)e-06,-0.00003(32),-0.0022(16),-3(10000)e-08,0.00003(34),6(201)e-06,,-2.9(2.8),-2.4(4.0),1.7(3.8),-2.0(4.2),
182,xpt-ratio_FpiFpi_nnlo_logSq_sunset_alphaS,1.1874(55),-0.00401(70),29.93902960695305,1.129629945726509,0.3349043150493867,0,-0.00138(24),-0.00031(52),,,,,,,,-2.6(2.8),1.2(1.9),2.5(3.2),-1.9(4.2),
183,xpt-ratio_FpiFpi_nnlo_alphaS,1.1872(54),-0.00400(70),29.56891542543768,1.2610353701178698,0.2462803559397025,0,-0.00136(24),-0.00041(53),,,,,,,,-2.5(2.8),2.9(1.9),3.1(3.1),-1.9(4.2),
184,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1906(48),-0.00410(70),33.76568990327014,0.3671995130187866,0.9609332583929764,10,-0.00140(29),-0.00012(74),0.00029(14),0.00033(16),-0.0027(12),-0.00006(10),-0.00034(17),0.00020(10),,-4.54(80),-1.3(3.4),0.7(3.3),,
185,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_FV,1.1906(47),-0.00410(70),33.522353190263125,0.3730358647339856,0.9586922574340576,10,-0.00142(29),-0.00011(73),-8(288)e-06,-0.00002(32),-0.0010(16),2(1000)e-07,-0.00001(34),-1(201)e-06,,-4.43(80),0.3(3.9),2.2(3.6),,
186,xpt-ratio_FpiFpi_nnlo_logSq_sunset_FV,1.1907(47),-0.00410(70),33.877785063459385,0.3649640272196795,0.9617715345619924,10,-0.00139(23),-0.00020(51),,,,,,,,-4.43(66),0.9(1.9),2.2(3.1),,
187,xpt-ratio_FpiFpi_nnlo_FV,1.1906(46),-0.00410(70),33.9826235540944,0.4003983130473966,0.9471671176978348,10,-0.00137(23),-0.00030(51),,,,,,,,-4.27(63),2.6(1.9),2.8(3.0),,
188,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.1891(56),-0.00406(70),33.69211650642728,0.3430393035848126,0.9694091327053154,10,-0.00140(29),-0.00011(74),0.00029(14),0.00033(16),-0.0027(12),-0.00006(10),-0.00034(17),0.00020(10),,-3.2(2.8),-1.4(3.4),0.7(3.3),-2.1(4.2),
189,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV,1.1892(55),-0.00406(70),33.44651517945941,0.34929545168539244,0.967337063599458,10,-0.00142(29),-0.00010(73),-8(288)e-06,-0.00002(32),-0.0010(16),2(1000)e-07,-10(339)e-06,-1(201)e-06,,-3.1(2.8),0.2(3.9),2.2(3.6),-2.0(4.2),
190,xpt-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_FV,1.1893(55),-0.00406(70),33.811168537747925,0.3410334563581757,0.9700555367260532,10,-0.00139(23),-0.00019(51),,,,,,,,-3.1(2.8),0.8(1.9),2.2(3.1),-2.1(4.2),
191,xpt-ratio_FpiFpi_nnlo_alphaS_FV,1.1892(54),-0.00406(70),33.91162341555492,0.37733319572073926,0.9569935615437075,10,-0.00137(23),-0.00029(51),,,,,,,,-3.0(2.8),2.5(1.9),2.8(3.0),-2.0(4.2),
