,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
58,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(2.1),0.0(2.1),
59,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(2.2),0.0(2.2),0.0(2.1)
60,xpt-ratio_FpiFpi_nnlo_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.1),0.0(5.1),0.0(2.7),,
61,xpt-ratio_FpiFpi_nnlo_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.3),0.0(3.3),0.0(7.3),,0(54)
62,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(4.8),0.0(4.8),0.0(3.2),,
63,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(4.7),0.0(4.7),0.0(3.2),,0.0(3.1)
64,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(3.9),0.0(3.9),0.0(3.1),,
65,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(3.9),0.0(3.9),0.0(3.1),,0.0(1.5)
66,xpt-ratio_FpiFpi_nnlo_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.1),0.0(5.1),0.0(2.3),0.0(2.3),
67,xpt-ratio_FpiFpi_nnlo_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.2),0.0(3.2),0.0(5.9),0.0(5.9),0(56)
68,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(4.7),0.0(4.7),0.0(2.7),0.0(2.7),
69,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(4.8),0.0(4.8),0.0(2.6),0.0(2.6),0.00(25)
70,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(4.0),0.0(4.0),0.0(2.5),0.0(2.5),
71,xpt-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(1.6),0.0(1.6),0.0(1.6),0.0(1.6),0.00(22)
72,xpt-ratio_FKFK_nnlo_logSq_sunset,,,,,,,0.0000(50),0.0000(50),0.0(1.2),0.0(1.2),0.0(2.4),,
