,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,eb:disc,eb:chiral,eb:pp_input,eb:stat
25,ma-ratio_FKFK_nnlo_a4_FV,1.1926(77),-0.00415(72),47.049387295843445,2.1418063472879547,0.004041085319558596,True,,0.00022(55),-0.0009(15),,,,,,,,-6.1(1.7),9.1(5.6),-2.9(1.7),,54(34),,,,,,0.0002519685410789386,0.003992662767411163,0.0020986301817002527,0.006175567844518233
26,ma-ratio_FKFK_nnlo_log_logSq_sunset_FV_bijnens,1.1823(35),-0.00387(69),48.8968086470164,2.2241891241193383,0.0026088624871449355,True,,0.00097(28),-0.00262(67),0.00028(14),0.00030(16),-0.0046(15),-0.00005(10),-0.00033(17),0.00021(10),,-3.74(85),12.8(3.8),-1.7(2.3),,,,,,,,6.813017848919459e-06,0.0008152197821127218,0.0028229197413363947,0.0019150637787016896
27,ma-ratio_FKFK_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1899(53),-0.00408(70),47.28154734907383,2.03178524491635,0.007144977647279945,True,,0.00052(38),-0.00169(86),0.00028(14),0.00031(16),-0.0045(15),-0.00005(10),-0.00032(17),0.00021(10),,-6.3(1.7),7.2(4.5),-4.2(2.6),,50(27),,,,,,0.00013400977597934687,0.0018091556974056003,0.0022528606304105235,0.004409296779832182
28,ma-ratio_FKFK_nnlo_alphaS_FV,1.1943(99),-0.00420(74),48.05817793657307,2.1855904616706674,0.0032060931860335424,True,,0.00056(43),-0.0017(11),,,,,,,,-16.7(9.6),12.8(4.2),-2.5(1.7),21(16),,,,,,,0.0017119895792771856,0.0029724773042686136,0.002694003495874412,0.008837601480591662
29,ma-ratio_FKFK_nnlo_alphaS_a4_FV,1.194(10),-0.00421(75),45.60569053075885,2.137565109451692,0.004132146953912022,True,,0.00023(56),-0.0009(15),,,,,,,,-9(13),9.3(5.7),-2.9(1.7),6(23),45(48),,,,,,0.0018575686748759802,0.0035342458667521953,0.002145958580871543,0.00933230550301676
30,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.1948(85),-0.00422(73),48.481130687354536,2.0737383229405126,0.005761142647223159,True,,0.00066(34),-0.00199(79),0.00028(14),0.00030(16),-0.0046(15),-0.00005(10),-0.00032(17),0.00021(10),,-18.4(9.1),9.2(4.1),-3.6(2.5),24(15),,,,,,,0.001350639837529417,0.0021104957578800434,0.0025627524401709684,0.0077001657045005145
31,ma-ratio_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.1924(90),-0.00415(73),45.860583141651105,2.0244735385177783,0.007416170096192798,True,,0.00051(38),-0.00168(86),0.00028(14),0.00030(16),-0.0045(15),-0.00005(10),-0.00032(17),0.00021(10),,-11(13),7.2(4.5),-4.3(2.7),8(23),39(42),,,,,,0.0019026527751741925,0.0016809842506337205,0.002287543616239864,0.008278994605139195
32,ma-ratio_FKFpi_nnlo_FV,1.1920(27),-0.00414(69),45.57332454439143,2.7522251788727172,0.00013127360109076508,True,,0.00044(23),-0.00108(65),,,,,,,,-1.74(69),10.7(2.5),5.5(1.1),,,,,,,,3.122160196056021e-06,0.00013224866459205187,0.0020410230880982807,0.0017495546921200468
33,ma-ratio_FKFpi_nnlo_a4_FV,1.210(11),-0.00465(77),43.94754840258727,2.370702685625358,0.0011730881253918973,True,,-0.00047(53),0.0015(16),,,,,,,,-5.1(1.7),0.9(6.4),5.3(2.0),,77(38),,,,,,0.0004405390885759092,0.0073775055810103626,0.0006883523680101135,0.008388875088502131
34,ma-ratio_FKFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1889(29),-0.00405(69),47.813975854607314,2.432925821085123,0.0008291407003642238,True,,0.00071(22),-0.00185(59),0.00023(12),0.00020(11),-0.0054(14),-0.00009(10),-0.00032(17),0.00015(10),,-1.89(56),7.6(2.6),3.2(1.8),,,,,,,,5.4669380672401985e-06,0.0008603427709545365,0.001909103183035105,0.0020459181767844355
35,ma-ratio_FKFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.2003(56),-0.00437(71),46.94008196416376,2.01584828187958,0.007748547635826837,True,,0.00012(34),-0.00056(81),0.00023(12),0.00021(11),-0.0050(14),-0.00010(10),-0.00031(17),0.00015(10),,-5.5(1.6),0.4(3.8),-1.0(2.6),,67(26),,,,,,0.00014633376920362902,0.00228888127329368,0.0011025136934524897,0.004860793924675502
36,ma-ratio_FKFpi_nnlo_alphaS_FV,1.209(11),-0.00462(77),44.772406363243114,2.554042569070398,0.0004169788495847027,True,,0.00001(35),0.00009(101),,,,,,,,-17.0(8.9),6.7(3.8),4.9(1.3),25(15),,,,,,,0.001810933442040236,0.003242689839594936,0.001561221958701543,0.010047375562384293
37,ma-ratio_FKFpi_nnlo_alphaS_a4_FV,1.210(14),-0.00465(80),42.39877405504304,2.370684916626272,0.001173203649395548,True,,-0.00047(53),0.0015(16),,,,,,,,-5(12),0.9(6.4),5.3(2.0),0.4(21.2),77(50),,,,,,0.0018894570650656922,0.006672430982682149,0.0006917145454192088,0.011556378120867624
38,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.2066(88),-0.00455(74),47.9054747569575,2.13636423663026,0.004158282572219728,True,,0.00036(29),-0.00108(71),0.00023(12),0.00021(11),-0.0053(14),-0.00010(10),-0.00032(17),0.00015(10),,-19.8(8.2),3.4(3.2),0.6(2.2),29(13),,,,,,,0.0012771603814207856,0.002324878234476914,0.0015721984717489866,0.00814469495650052
39,ma-ratio_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.2035(96),-0.00446(75),45.41951862114875,2.0059901947354266,0.008145594092294511,True,,0.00012(34),-0.00055(81),0.00023(12),0.00021(11),-0.0050(14),-0.00010(10),-0.00031(17),0.00015(10),,-10(11),0.4(3.8),-1.1(2.7),8(20),55(38),,,,,,0.0018275124234564141,0.0022581859583726428,0.0011410984123349775,0.009106702148258549
40,ma-ratio_FpiFpi_nnlo_FV,1.1946(30),-0.00421(70),43.821160819426325,2.9399009359860893,4.25689599372898e-05,True,,0.00028(17),-0.00069(52),,,,,,,,-0.53(47),4.7(1.8),4.48(83),,,,,,,,5.0277178435971165e-06,0.00019448623545536078,0.002278190235450844,0.001957264099349745
41,ma-ratio_FpiFpi_nnlo_a4_FV,1.222(17),-0.00497(86),43.4458590742194,2.161006569135735,0.003652197068188061,True,,-0.00070(57),0.0021(17),,,,,,,,-5.8(2.2),-5.0(6.7),4.5(2.2),,100(47),,,,,,0.0008580052997982298,0.012437779206642685,0.0004697567521680666,0.0115691857966811
42,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1913(35),-0.00412(70),47.5258029118305,2.48182956603374,0.0006293567034796235,True,,0.00075(20),-0.00205(56),0.00028(14),0.00028(16),-0.0059(14),-0.00005(10),-0.00031(17),0.00021(10),,-1.18(39),3.2(1.7),1.6(1.8),,,,,,,,3.7841907078642624e-06,0.0008406769350087241,0.0024067956084605816,0.002275413086992854
43,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.2045(59),-0.00449(72),46.79482783022768,1.9082904083200003,0.013257130110266021,True,,0.00021(30),-0.00079(76),0.00028(14),0.00030(16),-0.0052(14),-0.00006(10),-0.00030(17),0.00021(10),,-5.4(1.6),-1.9(2.6),-1.2(2.0),,68(25),,,,,,0.00015048667711329588,0.0022730360647908268,0.001061049395343553,0.005286685624679238
