,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,eb:disc,eb:chiral,eb:pp_input,eb:stat
36,ma-ratio_FKFK_n3lo_a4_FV,1.200(12),-0.00437(77),49.05529325323748,1.3374994591118765,0.15799341771477254,True,,-0.00031(51),0.0024(15),,,,,,,,-4(11),3.3(8.7),2.1(7.6),,113(43),0.9(90.5),-64(39),-42(49),49(63),118(57),0.0006082332520045987,0.005398340958776077,0.00040809515171910535,0.010183661521550784
37,ma-ratio_FKFK_n3lo_log_logSq_sunset_a4_FV_bijnens,1.1877(90),-0.00402(73),48.14519046473993,1.4341465872329038,0.10945993568314268,True,,0.00059(35),-0.0004(11),0.00029(14),0.00032(16),-0.0034(15),-0.00006(10),-0.00033(17),0.00020(10),,-3(12),8.5(8.6),-1.0(7.8),,71(36),-11(92),-50(36),-23(46),32(62),135(69),0.0005120411125141472,0.004269694505244769,0.0011444599287943787,0.007767498621907205
38,ma-ratio_FKFK_n3lo_alphaS_a4_FV,1.200(13),-0.00437(78),47.855593414312324,1.3248533777990346,0.16545033847309182,True,,-0.00018(51),0.0020(16),,,,,,,,-11(18),3.7(8.8),1.5(7.6),13(25),82(61),4(91),-69(40),-29(50),47(63),119(56),0.001838371519957511,0.004945238226874555,0.00017753519394348948,0.011313873604948165
39,ma-ratio_FKFK_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.191(10),-0.00410(75),46.88572434738182,1.406093656317573,0.1220782070360994,True,,0.00062(35),-0.0005(11),0.00029(14),0.00032(16),-0.0033(15),-0.00006(10),-0.00033(17),0.00020(10),,-12(18),8.3(8.6),-1.1(7.8),17(24),37(56),-7(92),-57(37),-13(47),33(62),127(70),0.0017164978212090955,0.0039439196344045815,0.0014913019272819025,0.009356433171510269
40,ma-ratio_FKFpi_n3lo_a4_FV,1.203(13),-0.00446(79),48.1907570987794,1.217591549276292,0.2400416096655372,True,,-0.00031(52),0.0020(17),,,,,,,,-6(14),6.0(8.7),5.6(8.0),,102(45),16(91),-56(29),-39(38),39(56),76(47),0.000817381666481443,0.0060108422952358355,0.0006353484229224596,0.011067865778930859
41,ma-ratio_FKFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,1.199(10),-0.00433(75),48.16836791614372,1.2225246947626915,0.23615118954093195,True,,0.00027(33),0.0004(11),0.00023(12),0.00022(11),-0.0034(15),-0.00010(10),-0.00033(17),0.00014(10),,-8(14),6.4(8.7),2.2(8.1),,87(38),22(92),-41(25),-35(36),11(57),115(60),0.0006737417615085863,0.005146227974782499,0.00018351491427115351,0.008677587626447386
42,ma-ratio_FKFpi_n3lo_alphaS_a4_FV,1.205(14),-0.00451(81),46.98834953489789,1.2071942275969971,0.2483892170683261,True,,-0.00027(51),0.0019(16),,,,,,,,-12(20),6.1(8.7),5.5(8.0),10(23),81(60),21(92),-59(30),-35(39),38(56),73(46),0.002232336144164961,0.006215623886896198,0.0004208692108294044,0.012400223319921043
43,ma-ratio_FKFpi_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.201(12),-0.00440(78),46.89344083675736,1.209131029534526,0.2468190118700186,True,,0.00028(33),0.0004(11),0.00023(12),0.00022(11),-0.0034(15),-0.00010(10),-0.00033(17),0.00014(10),,-14(20),6.3(8.7),2.2(8.1),11(22),66(53),28(93),-45(25),-32(37),12(57),110(60),0.002085517584270808,0.00540674345072912,0.00014951937243331761,0.010585335255403294
44,ma-ratio_FpiFpi_n3lo_a4_FV,1.204(13),-0.00447(79),47.11686336869607,1.1126415615685037,0.3334382720927349,True,,-0.00005(53),0.0011(17),,,,,,,,-12(16),5.6(8.6),6.4(8.2),,92(43),42(87),-34(20),-32(29),0.9(47.8),71(40),0.0007735125002028496,0.007144896537818834,0.001724202349707905,0.010410784289518672
45,ma-ratio_FpiFpi_n3lo_log_logSq_sunset_a4_FV_bijnens,1.202(12),-0.00443(77),47.1467963440403,1.0893896918547417,0.3567911572845381,True,,0.00034(35),0.00005(122),0.00029(14),0.00032(16),-0.0035(15),-0.00006(10),-0.00034(17),0.00020(10),,-14(17),4.7(8.8),4.5(8.2),,86(39),48(88),-23(18),-29(28),-15(51),92(52),0.0006854045711455628,0.006691322485709706,0.0013035483756525849,0.009224697605508096
46,ma-ratio_FpiFpi_n3lo_alphaS_a4_FV,1.207(16),-0.00456(83),45.835504338764636,1.1011689759552254,0.34484614791171403,True,,-0.00005(53),0.0011(17),,,,,,,,-18(22),5.6(8.6),6.4(8.2),10(22),75(54),51(89),-36(21),-32(29),0.9(47.8),68(40),0.002856578004398316,0.008130721046023652,0.0015765675628809238,0.012946085146969571
47,ma-ratio_FpiFpi_n3lo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.206(15),-0.00454(81),45.837622431597175,1.0759725470624757,0.3706762132197231,True,,0.00032(35),0.00007(122),0.00029(14),0.00032(16),-0.0034(15),-0.00006(10),-0.00034(17),0.00020(10),,-21(23),4.5(8.8),4.5(8.3),10(21),69(50),58(89),-25(19),-29(28),-15(51),89(52),0.0027801531775544725,0.007664026890834416,0.001197800634428276,0.012133963901307523
48,xpt_FKFK_n2lo_a4_FV,1.1925(39),-0.00415(70),64.7698858879989,0.7154502360883593,0.7901893254338064,True,,-0.0012(35),0.00033(85),,,,,,,,-10.9(1.5),2.2(6.9),0.8(3.7),,80(23),,,,,,9.26941219139626e-05,0.0007093425251751193,0.0013601723263780973,0.003572863642252785
49,xpt_FKFK_n2lo_log_logSq_sunset_a4_FV_bijnens,1.1888(35),-0.00405(69),62.899948712385424,0.7597185751183007,0.7418430650851588,True,,-0.0010(25),-0.00082(56),0.00029(14),0.00032(16),-0.0033(15),-0.00006(10),-0.00034(17),0.00020(10),,-10.1(1.4),2.2(7.8),-2.1(4.1),,65(18),,,,,,5.88822055972663e-05,0.0007713729451969322,0.001854042672269829,0.0029244172887887988
50,xpt_FKFK_n2lo_alphaS_a4_FV,1.1950(72),-0.00422(72),63.2440482294695,0.7059052919783456,0.8001136038699523,True,,-0.0013(35),0.00032(86),,,,,,,,-15(11),2.4(6.9),0.7(3.7),8(20),68(38),,,,,,0.0014346301695940804,0.0004262251909159551,0.001413342299360438,0.006943320266653584
