input used:
# mp0 :  0.130000000000000
# mk0 :  0.450000000000000
# f0  :  0.087700000000000
# mu  :  0.770000000000000
# Li set :  fitBE14
#mu : 0.77
#L1r  L2r  L3r :0.000528552266181 0.000814177210776 -0.00307190158082
#L4r  L5r  L6r :0.0003 0.001014976780543 0.000144108338197
#L7r  L8r  L9r :-0.000342935304325 0.000473156165745 0.00593
#L10r H1r  H2r :0 0 0
output for m_pi L = 2
       1    2    2   -0.00979401   -0.00894599  -2.00309e-05  -1.17124e-05   0.000233715   0.000202857
     0.1    5    5   -0.00979401   -0.00966225  -2.00309e-05  -1.80233e-05   0.000233715    0.00022799
    0.01   10   10   -0.00979401      -0.00978  -2.00309e-05  -1.98335e-05   0.000233715   0.000233137
   0.001   20   20   -0.00978892    -0.0097891  -2.00716e-05  -2.00574e-05   0.000233637   0.000233639
  0.0001   40   40   -0.00978935   -0.00978935  -2.00699e-05  -2.00664e-05   0.000233645   0.000233656
   1e-05   80   40   -0.00978934   -0.00978935  -2.00689e-05  -2.00665e-05   0.000233656   0.000233656
 eps maxonesum maxtwosum qqstrange4loVt qqstrange4loVb qqstrange6LloVt qqstrange6LloVb qqstrange6RloVt qqstrange6RloVb
      10    1    1  -1.02392e-05  -1.03618e-05   3.01187e-06   1.78072e-06   3.14725e-06   1.41328e-06
       1    2    2  -1.02392e-05  -1.05215e-05   3.01187e-06    2.6852e-06   3.14725e-06   2.68277e-06
     0.1    5    5  -1.02392e-05  -1.05245e-05   3.01187e-06   2.98143e-06   3.14725e-06   3.10721e-06
    0.01   10   10  -1.02392e-05  -1.05245e-05   3.01187e-06   3.03021e-06   3.14725e-06   3.17721e-06
   0.001   20   20  -1.02392e-05  -1.05245e-05   3.00976e-06   3.03398e-06   3.14423e-06   3.18262e-06
  0.0001   40   40  -1.05315e-05  -1.05245e-05   3.04856e-06   3.03408e-06   3.16268e-06   3.18277e-06
   1e-05   80   40  -1.05113e-05  -1.05245e-05   3.02507e-06   3.03408e-06   3.17965e-06   3.18277e-06
